G,fV,betaV,betaH,Protein_intake,Lipid_intake 
0.0102,0.55,0.69,0.9685,,
0.0102,0.56,0.69,0.9685,,
0.0102,0.57,0.69,0.9685,,
0.0102,0.58,0.69,0.9685,,
0.0102,0.59,0.69,0.9685,,
0.0102,0.6,0.69,0.9685,,
0.0102,0.61,0.69,0.9685,,
0.0102,0.62,0.69,0.9685,,
0.0102,0.63,0.69,0.9685,,
0.0102,0.64,0.69,0.9685,,
0.0102,0.65,0.69,0.9685,,
0.0102,0.66,0.69,0.9685,,
0.0102,0.67,0.69,0.9685,,
0.0102,0.68,0.69,0.9685,,
0.0102,0.69,0.69,0.9685,,
0.0102,0.7,0.69,0.9685,,
0.0102,0.71,0.69,0.9685,,
0.0102,0.72,0.69,0.9685,,
0.0102,0.73,0.69,0.9685,,
0.0102,0.74,0.69,0.9685,,
0.0102,0.75,0.69,0.9685,,
0.0102,0.76,0.69,0.9685,,
0.0102,0.77,0.69,0.9685,,
0.0102,0.78,0.69,0.9685,,
0.0102,0.79,0.69,0.9685,,
0.0102,0.8,0.69,0.9685,,
0.0102,0.81,0.69,0.9685,,
0.0102,0.82,0.69,0.9685,,
0.0102,0.83,0.69,0.9685,,
0.0102,0.84,0.69,0.9685,,
0.0102,0.85,0.69,0.9685,,
0.0102,0.86,0.69,0.9685,,
0.0102,0.87,0.69,0.9685,,
0.0102,0.88,0.69,0.9685,,
0.0102,0.89,0.69,0.9685,,
0.0102,0.9,0.69,0.9685,,
0.0102,0.91,0.69,0.9685,,
0.0102,0.92,0.69,0.9685,,
0.0102,0.93,0.69,0.9685,,
0.0102,0.94,0.69,0.9685,,
0.0102,0.95,0.69,0.9685,,
0.0102,0.96,0.69,0.9685,,
0.0102,0.97,0.69,0.9685,,
0.0102,0.98,0.69,0.9685,,
0.0102,0.99,0.69,0.9685,,
0.0102,1,0.69,0.9685,,
0.0109,0,0.69,0.9564,,
0.0109,0.01,0.69,0.9564,,
0.0109,0.02,0.69,0.9564,,
0.0109,0.03,0.69,0.9564,,
0.0109,0.04,0.69,0.9564,,
0.0109,0.05,0.69,0.9564,,
0.0109,0.06,0.69,0.9564,,
0.0109,0.07,0.69,0.9564,,
0.0109,0.08,0.69,0.9564,,
0.0109,0.09,0.69,0.9564,,
0.0109,0.1,0.69,0.9564,,
0.0109,0.11,0.69,0.9564,,
0.0109,0.12,0.69,0.9564,,
0.0109,0.13,0.69,0.9564,,
0.0109,0.14,0.69,0.9564,,
0.0109,0.15,0.69,0.9564,,
0.0109,0.16,0.69,0.9564,,
0.0109,0.17,0.69,0.9564,,
0.0109,0.18,0.69,0.9564,,
0.0109,0.19,0.69,0.9564,,
0.0109,0.2,0.69,0.9564,,
0.0109,0.21,0.69,0.9564,,
0.0109,0.22,0.69,0.9564,,
0.0109,0.23,0.69,0.9564,,
0.0109,0.24,0.69,0.9564,,
0.0109,0.25,0.69,0.9564,,
0.0109,0.26,0.69,0.9564,,
0.0109,0.27,0.69,0.9564,,
0.0109,0.28,0.69,0.9564,,
0.0109,0.29,0.69,0.9564,,
0.0109,0.3,0.69,0.9564,,
0.0109,0.31,0.69,0.9564,,
0.0109,0.32,0.69,0.9564,,
0.0109,0.33,0.69,0.9564,,
0.0109,0.34,0.69,0.9564,,
0.0109,0.35,0.69,0.9564,,
0.0109,0.36,0.69,0.9564,,
0.0109,0.37,0.69,0.9564,,
0.0109,0.38,0.69,0.9564,,
0.0109,0.39,0.69,0.9564,,
0.0109,0.4,0.69,0.9564,,
0.0109,0.41,0.69,0.9564,,
0.0109,0.42,0.69,0.9564,,
0.0109,0.43,0.69,0.9564,,
0.0109,0.44,0.69,0.9564,,
0.0109,0.45,0.69,0.9564,,
0.0109,0.46,0.69,0.9564,,
0.0109,0.47,0.69,0.9564,,
0.0109,0.48,0.69,0.9564,,
0.0109,0.49,0.69,0.9564,,
0.0109,0.5,0.69,0.9564,,
0.0109,0.51,0.69,0.9564,,
0.0109,0.52,0.69,0.9564,,
0.0109,0.53,0.69,0.9564,,
0.0109,0.54,0.69,0.9564,,
0.0109,0.55,0.69,0.9564,,
0.0109,0.56,0.69,0.9564,,
0.0109,0.57,0.69,0.9564,,
0.0109,0.58,0.69,0.9564,,
0.0109,0.59,0.69,0.9564,,
0.0109,0.6,0.69,0.9564,,
0.0109,0.61,0.69,0.9564,,
0.0109,0.62,0.69,0.9564,,
0.0109,0.63,0.69,0.9564,,
0.0109,0.64,0.69,0.9564,,
0.0109,0.65,0.69,0.9564,,
0.0109,0.66,0.69,0.9564,,
0.0109,0.67,0.69,0.9564,,
0.0109,0.68,0.69,0.9564,,
0.0109,0.69,0.69,0.9564,,
0.0109,0.7,0.69,0.9564,,
0.0109,0.71,0.69,0.9564,,
0.0109,0.72,0.69,0.9564,,
0.0109,0.73,0.69,0.9564,,
0.0109,0.74,0.69,0.9564,,
0.0109,0.75,0.69,0.9564,,
0.0109,0.76,0.69,0.9564,,
0.0109,0.77,0.69,0.9564,,
0.0109,0.78,0.69,0.9564,,
0.0109,0.79,0.69,0.9564,,
0.0109,0.8,0.69,0.9564,,
0.0109,0.81,0.69,0.9564,,
0.0109,0.82,0.69,0.9564,,
0.0109,0.83,0.69,0.9564,,
0.0109,0.84,0.69,0.9564,,
0.0109,0.85,0.69,0.9564,,
0.0109,0.86,0.69,0.9564,,
0.0109,0.87,0.69,0.9564,,
0.0109,0.88,0.69,0.9564,,
0.0109,0.89,0.69,0.9564,,
0.0109,0.9,0.69,0.9564,,
0.0109,0.91,0.69,0.9564,,
0.0109,0.92,0.69,0.9564,,
0.0109,0.93,0.69,0.9564,,
0.0109,0.94,0.69,0.9564,,
0.0109,0.95,0.69,0.9564,,
0.0109,0.96,0.69,0.9564,,
0.0109,0.97,0.69,0.9564,,
0.0109,0.98,0.69,0.9564,,
0.0109,0.99,0.69,0.9564,,
0.0109,1,0.69,0.9564,,
0.011,0,0.69,0.9522,,
0.011,0.01,0.69,0.9522,,
0.011,0.02,0.69,0.9522,,
0.011,0.03,0.69,0.9522,,
0.011,0.04,0.69,0.9522,,
0.011,0.05,0.69,0.9522,,
0.011,0.06,0.69,0.9522,,
0.011,0.07,0.69,0.9522,,
0.011,0.08,0.69,0.9522,,
0.011,0.09,0.69,0.9522,,
0.011,0.1,0.69,0.9522,,
0.011,0.11,0.69,0.9522,,
0.011,0.12,0.69,0.9522,,
0.011,0.13,0.69,0.9522,,
0.011,0.14,0.69,0.9522,,
0.011,0.15,0.69,0.9522,,
0.011,0.16,0.69,0.9522,,
0.011,0.17,0.69,0.9522,,
0.011,0.18,0.69,0.9522,,
0.011,0.19,0.69,0.9522,,
0.011,0.2,0.69,0.9522,,
0.011,0.21,0.69,0.9522,,
0.011,0.22,0.69,0.9522,,
0.011,0.23,0.69,0.9522,,
0.011,0.24,0.69,0.9522,,
0.011,0.25,0.69,0.9522,,
0.011,0.26,0.69,0.9522,,
0.011,0.27,0.69,0.9522,,
0.011,0.28,0.69,0.9522,,
0.011,0.29,0.69,0.9522,,
0.011,0.3,0.69,0.9522,,
0.011,0.31,0.69,0.9522,,
0.011,0.32,0.69,0.9522,,
0.011,0.33,0.69,0.9522,,
0.011,0.34,0.69,0.9522,,
0.011,0.35,0.69,0.9522,,
0.011,0.36,0.69,0.9522,,
0.011,0.37,0.69,0.9522,,
0.011,0.38,0.69,0.9522,,
0.011,0.39,0.69,0.9522,,
0.011,0.4,0.69,0.9522,,
0.011,0.41,0.69,0.9522,,
0.011,0.42,0.69,0.9522,,
0.011,0.43,0.69,0.9522,,
0.011,0.44,0.69,0.9522,,
0.011,0.45,0.69,0.9522,,
0.011,0.46,0.69,0.9522,,
0.011,0.47,0.69,0.9522,,
0.011,0.48,0.69,0.9522,,
0.011,0.49,0.69,0.9522,,
0.011,0.5,0.69,0.9522,,
0.011,0.51,0.69,0.9522,,
0.011,0.52,0.69,0.9522,,
0.011,0.53,0.69,0.9522,,
0.011,0.54,0.69,0.9522,,
0.011,0.55,0.69,0.9522,,
0.011,0.56,0.69,0.9522,,
0.011,0.57,0.69,0.9522,,
0.011,0.58,0.69,0.9522,,
0.011,0.59,0.69,0.9522,,
0.011,0.6,0.69,0.9522,,
0.011,0.61,0.69,0.9522,,
0.011,0.62,0.69,0.9522,,
0.011,0.63,0.69,0.9522,,
0.011,0.64,0.69,0.9522,,
0.011,0.65,0.69,0.9522,,
0.011,0.66,0.69,0.9522,,
0.011,0.67,0.69,0.9522,,
0.011,0.68,0.69,0.9522,,
0.011,0.69,0.69,0.9522,,
0.011,0.7,0.69,0.9522,,
0.011,0.71,0.69,0.9522,,
0.011,0.72,0.69,0.9522,,
0.011,0.73,0.69,0.9522,,
0.011,0.74,0.69,0.9522,,
0.011,0.75,0.69,0.9522,,
0.011,0.76,0.69,0.9522,,
0.011,0.77,0.69,0.9522,,
0.011,0.78,0.69,0.9522,,
0.011,0.79,0.69,0.9522,,
0.011,0.8,0.69,0.9522,,
0.011,0.81,0.69,0.9522,,
0.011,0.82,0.69,0.9522,,
0.011,0.83,0.69,0.9522,,
0.011,0.84,0.69,0.9522,,
0.011,0.85,0.69,0.9522,,
0.011,0.86,0.69,0.9522,,
0.011,0.87,0.69,0.9522,,
0.011,0.88,0.69,0.9522,,
0.011,0.89,0.69,0.9522,,
0.011,0.9,0.69,0.9522,,
0.011,0.91,0.69,0.9522,,
0.011,0.92,0.69,0.9522,,
0.011,0.93,0.69,0.9522,,
0.011,0.94,0.69,0.9522,,
0.011,0.95,0.69,0.9522,,
0.011,0.96,0.69,0.9522,,
0.011,0.97,0.69,0.9522,,
0.011,0.98,0.69,0.9522,,
0.011,0.99,0.69,0.9522,,
0.011,1,0.69,0.9522,,
0.011,0,0.69,0.94,,
0.011,0.01,0.69,0.94,,
0.011,0.02,0.69,0.94,,
0.011,0.03,0.69,0.94,,
0.011,0.04,0.69,0.94,,
0.011,0.05,0.69,0.94,,
0.011,0.06,0.69,0.94,,
0.011,0.07,0.69,0.94,,
0.011,0.08,0.69,0.94,,
0.011,0.09,0.69,0.94,,
0.011,0.1,0.69,0.94,,
0.011,0.11,0.69,0.94,,
0.011,0.12,0.69,0.94,,
0.011,0.13,0.69,0.94,,
0.011,0.14,0.69,0.94,,
0.011,0.15,0.69,0.94,,
0.011,0.16,0.69,0.94,,
0.011,0.17,0.69,0.94,,
0.011,0.18,0.69,0.94,,
0.011,0.19,0.69,0.94,,
0.011,0.2,0.69,0.94,,
0.011,0.21,0.69,0.94,,
0.011,0.22,0.69,0.94,,
0.011,0.23,0.69,0.94,,
0.011,0.24,0.69,0.94,,
0.011,0.25,0.69,0.94,,
0.011,0.26,0.69,0.94,,
0.011,0.27,0.69,0.94,,
0.011,0.28,0.69,0.94,,
0.011,0.29,0.69,0.94,,
0.011,0.3,0.69,0.94,,
0.011,0.31,0.69,0.94,,
0.011,0.32,0.69,0.94,,
0.011,0.33,0.69,0.94,,
0.011,0.34,0.69,0.94,,
0.011,0.35,0.69,0.94,,
0.011,0.36,0.69,0.94,,
0.011,0.37,0.69,0.94,,
0.011,0.38,0.69,0.94,,
0.011,0.39,0.69,0.94,,
0.011,0.4,0.69,0.94,,
0.011,0.41,0.69,0.94,,
0.011,0.42,0.69,0.94,,
0.011,0.43,0.69,0.94,,
0.011,0.44,0.69,0.94,,
0.011,0.45,0.69,0.94,,
0.011,0.46,0.69,0.94,,
0.011,0.47,0.69,0.94,,
0.011,0.48,0.69,0.94,,
0.011,0.49,0.69,0.94,,
0.011,0.5,0.69,0.94,,
0.011,0.51,0.69,0.94,,
0.011,0.52,0.69,0.94,,
0.011,0.53,0.69,0.94,,
0.011,0.54,0.69,0.94,,
0.011,0.55,0.69,0.94,,
0.011,0.56,0.69,0.94,,
0.011,0.57,0.69,0.94,,
0.011,0.58,0.69,0.94,,
0.011,0.59,0.69,0.94,,
0.011,0.6,0.69,0.94,,
0.011,0.61,0.69,0.94,,
0.011,0.62,0.69,0.94,,
0.011,0.63,0.69,0.94,,
0.011,0.64,0.69,0.94,,
0.011,0.65,0.69,0.94,,
0.011,0.66,0.69,0.94,,
0.011,0.67,0.69,0.94,,
0.011,0.68,0.69,0.94,,
0.011,0.69,0.69,0.94,,
0.011,0.7,0.69,0.94,,
0.011,0.71,0.69,0.94,,
0.011,0.72,0.69,0.94,,
0.011,0.73,0.69,0.94,,
0.011,0.74,0.69,0.94,,
0.011,0.75,0.69,0.94,,
0.011,0.76,0.69,0.94,,
0.011,0.77,0.69,0.94,,
0.011,0.78,0.69,0.94,,
0.011,0.79,0.69,0.94,,
0.011,0.8,0.69,0.94,,
0.011,0.81,0.69,0.94,,
0.011,0.82,0.69,0.94,,
0.011,0.83,0.69,0.94,,
0.011,0.84,0.69,0.94,,
0.011,0.85,0.69,0.94,,
0.011,0.86,0.69,0.94,,
0.011,0.87,0.69,0.94,,
0.011,0.88,0.69,0.94,,
0.011,0.89,0.69,0.94,,
0.011,0.9,0.69,0.94,,
0.011,0.91,0.69,0.94,,
0.011,0.92,0.69,0.94,,
0.011,0.93,0.69,0.94,,
0.011,0.94,0.69,0.94,,
0.011,0.95,0.69,0.94,,
0.011,0.96,0.69,0.94,,
0.011,0.97,0.69,0.94,,
0.011,0.98,0.69,0.94,,
0.011,0.99,0.69,0.94,,
0.011,1,0.69,0.94,,
0.0123,0,0.69,0.9466,,
0.0123,0.01,0.69,0.9466,,
0.0123,0.02,0.69,0.9466,,
0.0123,0.03,0.69,0.9466,,
0.0123,0.04,0.69,0.9466,,
0.0123,0.05,0.69,0.9466,,
0.0123,0.06,0.69,0.9466,,
0.0123,0.07,0.69,0.9466,,
0.0123,0.08,0.69,0.9466,,
0.0123,0.09,0.69,0.9466,,
0.0123,0.1,0.69,0.9466,,
0.0123,0.11,0.69,0.9466,,
0.0123,0.12,0.69,0.9466,,
0.0123,0.13,0.69,0.9466,,
0.0123,0.14,0.69,0.9466,,
0.0123,0.15,0.69,0.9466,,
0.0123,0.16,0.69,0.9466,,
0.0123,0.17,0.69,0.9466,,
0.0123,0.18,0.69,0.9466,,
0.0123,0.19,0.69,0.9466,,
0.0123,0.2,0.69,0.9466,,
0.0123,0.21,0.69,0.9466,,
0.0123,0.22,0.69,0.9466,,
0.0123,0.23,0.69,0.9466,,
0.0123,0.24,0.69,0.9466,,
0.0123,0.25,0.69,0.9466,,
0.0123,0.26,0.69,0.9466,,
0.0123,0.27,0.69,0.9466,,
0.0123,0.28,0.69,0.9466,,
0.0123,0.29,0.69,0.9466,,
0.0123,0.3,0.69,0.9466,,
0.0123,0.31,0.69,0.9466,,
0.0123,0.32,0.69,0.9466,,
0.0123,0.33,0.69,0.9466,,
0.0123,0.34,0.69,0.9466,,
0.0123,0.35,0.69,0.9466,,
0.0123,0.36,0.69,0.9466,,
0.0123,0.37,0.69,0.9466,,
0.0123,0.38,0.69,0.9466,,
0.0123,0.39,0.69,0.9466,,
0.0123,0.4,0.69,0.9466,,
0.0123,0.41,0.69,0.9466,,
0.0123,0.42,0.69,0.9466,,
0.0123,0.43,0.69,0.9466,,
0.0123,0.44,0.69,0.9466,,
0.0123,0.45,0.69,0.9466,,
0.0123,0.46,0.69,0.9466,,
0.0123,0.47,0.69,0.9466,,
0.0123,0.48,0.69,0.9466,,
0.0123,0.49,0.69,0.9466,,
0.0123,0.5,0.69,0.9466,,
0.0123,0.51,0.69,0.9466,,
0.0123,0.52,0.69,0.9466,,
0.0123,0.53,0.69,0.9466,,
0.0123,0.54,0.69,0.9466,,
0.0123,0.55,0.69,0.9466,,
0.0123,0.56,0.69,0.9466,,
0.0123,0.57,0.69,0.9466,,
0.0123,0.58,0.69,0.9466,,
0.0123,0.59,0.69,0.9466,,
0.0123,0.6,0.69,0.9466,,
0.0123,0.61,0.69,0.9466,,
0.0123,0.62,0.69,0.9466,,
0.0123,0.63,0.69,0.9466,,
0.0123,0.64,0.69,0.9466,,
0.0123,0.65,0.69,0.9466,,
0.0123,0.66,0.69,0.9466,,
0.0123,0.67,0.69,0.9466,,
0.0123,0.68,0.69,0.9466,,
0.0123,0.69,0.69,0.9466,,
0.0123,0.7,0.69,0.9466,,
0.0123,0.71,0.69,0.9466,,
0.0123,0.72,0.69,0.9466,,
0.0123,0.73,0.69,0.9466,,
0.0123,0.74,0.69,0.9466,,
0.0123,0.75,0.69,0.9466,,
0.0123,0.76,0.69,0.9466,,
0.0123,0.77,0.69,0.9466,,
0.0123,0.78,0.69,0.9466,,
0.0123,0.79,0.69,0.9466,,
0.0123,0.8,0.69,0.9466,,
0.0123,0.81,0.69,0.9466,,
0.0123,0.82,0.69,0.9466,,
0.0123,0.83,0.69,0.9466,,
0.0123,0.84,0.69,0.9466,,
0.0123,0.85,0.69,0.9466,,
0.0123,0.86,0.69,0.9466,,
0.0123,0.87,0.69,0.9466,,
0.0123,0.88,0.69,0.9466,,
0.0123,0.89,0.69,0.9466,,
0.0123,0.9,0.69,0.9466,,
0.0123,0.91,0.69,0.9466,,
0.0123,0.92,0.69,0.9466,,
0.0123,0.93,0.69,0.9466,,
0.0123,0.94,0.69,0.9466,,
0.0123,0.95,0.69,0.9466,,
0.0123,0.96,0.69,0.9466,,
0.0123,0.97,0.69,0.9466,,
0.0123,0.98,0.69,0.9466,,
0.0123,0.99,0.69,0.9466,,
0.0123,1,0.69,0.9466,,
0.0126,0,0.69,0.9512,,
0.0126,0.01,0.69,0.9512,,
0.0126,0.02,0.69,0.9512,,
0.0126,0.03,0.69,0.9512,,
0.0126,0.04,0.69,0.9512,,
0.0126,0.05,0.69,0.9512,,
0.0126,0.06,0.69,0.9512,,
0.0126,0.07,0.69,0.9512,,
0.0126,0.08,0.69,0.9512,,
0.0126,0.09,0.69,0.9512,,
0.0126,0.1,0.69,0.9512,,
0.0126,0.11,0.69,0.9512,,
0.0126,0.12,0.69,0.9512,,
0.0126,0.13,0.69,0.9512,,
0.0126,0.14,0.69,0.9512,,
0.0126,0.15,0.69,0.9512,,
0.0126,0.16,0.69,0.9512,,
0.0126,0.17,0.69,0.9512,,
0.0126,0.18,0.69,0.9512,,
0.0126,0.19,0.69,0.9512,,
0.0126,0.2,0.69,0.9512,,
0.0126,0.21,0.69,0.9512,,
0.0126,0.22,0.69,0.9512,,
0.0126,0.23,0.69,0.9512,,
0.0126,0.24,0.69,0.9512,,
0.0126,0.25,0.69,0.9512,,
0.0126,0.26,0.69,0.9512,,
0.0126,0.27,0.69,0.9512,,
0.0126,0.28,0.69,0.9512,,
0.0126,0.29,0.69,0.9512,,
0.0126,0.3,0.69,0.9512,,
0.0126,0.31,0.69,0.9512,,
0.0126,0.32,0.69,0.9512,,
0.0126,0.33,0.69,0.9512,,
0.0126,0.34,0.69,0.9512,,
0.0126,0.35,0.69,0.9512,,
0.0126,0.36,0.69,0.9512,,
0.0126,0.37,0.69,0.9512,,
0.0126,0.38,0.69,0.9512,,
0.0126,0.39,0.69,0.9512,,
0.0126,0.4,0.69,0.9512,,
0.0126,0.41,0.69,0.9512,,
0.0126,0.42,0.69,0.9512,,
0.0126,0.43,0.69,0.9512,,
0.0126,0.44,0.69,0.9512,,
0.0126,0.45,0.69,0.9512,,
0.0126,0.46,0.69,0.9512,,
0.0126,0.47,0.69,0.9512,,
0.0126,0.48,0.69,0.9512,,
0.0126,0.49,0.69,0.9512,,
0.0126,0.5,0.69,0.9512,,
0.0126,0.51,0.69,0.9512,,
0.0126,0.52,0.69,0.9512,,
0.0126,0.53,0.69,0.9512,,
0.0126,0.54,0.69,0.9512,,
0.0126,0.55,0.69,0.9512,,
0.0126,0.56,0.69,0.9512,,
0.0126,0.57,0.69,0.9512,,
0.0126,0.58,0.69,0.9512,,
0.0126,0.59,0.69,0.9512,,
0.0126,0.6,0.69,0.9512,,
0.0126,0.61,0.69,0.9512,,
0.0126,0.62,0.69,0.9512,,
0.0126,0.63,0.69,0.9512,,
0.0126,0.64,0.69,0.9512,,
0.0126,0.65,0.69,0.9512,,
0.0126,0.66,0.69,0.9512,,
0.0126,0.67,0.69,0.9512,,
0.0126,0.68,0.69,0.9512,,
0.0126,0.69,0.69,0.9512,,
0.0126,0.7,0.69,0.9512,,
0.0126,0.71,0.69,0.9512,,
0.0126,0.72,0.69,0.9512,,
0.0126,0.73,0.69,0.9512,,
0.0126,0.74,0.69,0.9512,,
0.0126,0.75,0.69,0.9512,,
0.0126,0.76,0.69,0.9512,,
0.0126,0.77,0.69,0.9512,,
0.0126,0.78,0.69,0.9512,,
0.0126,0.79,0.69,0.9512,,
0.0126,0.8,0.69,0.9512,,
0.0126,0.81,0.69,0.9512,,
0.0126,0.82,0.69,0.9512,,
0.0126,0.83,0.69,0.9512,,
0.0126,0.84,0.69,0.9512,,
0.0126,0.85,0.69,0.9512,,
0.0126,0.86,0.69,0.9512,,
0.0126,0.87,0.69,0.9512,,
0.0126,0.88,0.69,0.9512,,
0.0126,0.89,0.69,0.9512,,
0.0126,0.9,0.69,0.9512,,
0.0126,0.91,0.69,0.9512,,
0.0126,0.92,0.69,0.9512,,
0.0126,0.93,0.69,0.9512,,
0.0126,0.94,0.69,0.9512,,
0.0126,0.95,0.69,0.9512,,
0.0126,0.96,0.69,0.9512,,
0.0126,0.97,0.69,0.9512,,
0.0126,0.98,0.69,0.9512,,
0.0126,0.99,0.69,0.9512,,
0.0126,1,0.69,0.9512,,
